id, title              , artist          , genre     , mood       , energy, tempo_bpm, valence, danceability, acousticness, speechiness, instrumentalness
 1, Sunrise City       , Neon Echo       , pop       , happy      ,   0.82,       118,    0.84,         0.79,         0.18,        0.05,             0.04
 2, Midnight Coding    , LoRoom          , lofi      , chill      ,   0.42,        78,    0.56,         0.62,         0.71,        0.03,             0.82
 3, Storm Runner       , Voltline        , rock      , intense    ,   0.91,       152,    0.48,         0.66,         0.10,        0.06,             0.12
 4, Library Rain       , Paper Lanterns  , lofi      , chill      ,   0.35,        72,    0.60,         0.58,         0.86,        0.02,             0.91
 5, Gym Hero           , Max Pulse       , pop       , intense    ,   0.93,       132,    0.77,         0.88,         0.05,        0.07,             0.03
 6, Spacewalk Thoughts , Orbit Bloom     , ambient   , chill      ,   0.28,        60,    0.65,         0.41,         0.92,        0.02,             0.94
 7, Coffee Shop Stories, Slow Stereo     , jazz      , relaxed    ,   0.37,        90,    0.71,         0.54,         0.89,        0.03,             0.76
 8, Night Drive Loop   , Neon Echo       , synthwave , moody      ,   0.75,       110,    0.49,         0.73,         0.22,        0.03,             0.88
 9, Focus Flow         , LoRoom          , lofi      , focused    ,   0.40,        80,    0.59,         0.60,         0.78,        0.02,             0.85
10, Rooftop Lights     , Indigo Parade   , indie pop , happy      ,   0.76,       124,    0.81,         0.82,         0.35,        0.06,             0.05
11, 3AM Verses         , Lingo Haze      , hip-hop   , melancholic,   0.55,        86,    0.29,         0.71,         0.14,        0.28,             0.03
12, Silk & Honey       , Velvet Jones    , r&b       , romantic   ,   0.58,        92,    0.76,         0.79,         0.32,        0.08,             0.06
13, Still Water Suite  , Clara Voss      , classical , peaceful   ,   0.18,        52,    0.61,         0.21,         0.98,        0.02,             0.96
14, Euphoria Drop      , Frequency       , electronic, euphoric   ,   0.96,       140,    0.91,         0.94,         0.02,        0.04,             0.78
15, Gravel Road Home   , The Hollow Pines, folk      , nostalgic  ,   0.34,        88,    0.57,         0.41,         0.95,        0.05,             0.22
16, Fracture Point     , Iron Veil       , metal     , angry      ,   0.97,       168,    0.19,         0.44,         0.03,        0.06,             0.14
17, Island Frequency   , Roots & Tide    , reggae    , uplifted   ,   0.53,        82,    0.82,         0.74,         0.48,        0.09,             0.18
18, Funk Cathedral     , Brass & Circuit , funk      , groovy     ,   0.79,       106,    0.86,         0.91,         0.38,        0.07,             0.35
19, Concrete Dreams    , Dark Matter     , trap      , dark       ,   0.72,       140,    0.27,         0.76,         0.06,        0.34,             0.05
20, Velvet Goodbye     , Sable & June    , soul      , bittersweet,   0.50,        78,    0.48,         0.56,         0.62,        0.06,             0.11
